;Страна;ВВП;урбанизация;автомибилизация;смертность в ДТП / 100к ;ВВП на душу
;;;;;;
;Австралия;1 454 675;89.3;556;5.4;51.85
;Австрия;436 888;65.9;529;5.4;44.498
;Азербайджан;75 198;54.4;83.8;10;3.956
;Албания;13 212;56.4;92;15.1;4.203
;Алжир;213 518;70.1;75.9;23.8;3.944
;Афганистан;20 038;26.3;20.1;15.5;565
;Бангладеш;172 887;33.5;2;13.6;1.411
;Беларусь;76 139;76.3;274;13.7;5.143
;Бельгия;531 547;97.8;489;6.7;41.283
;Болгария;56 717;73.6;345;8.3;7.369
;Буркина Фасо;12 542;29;7.3;30;646
;Великобритания;2 988 893;82.3;457;2.9;40.096
;Венгрия;138 347;70.8;298;7.7;12.778
;Германия;3 868 291;75.1;517;4.3;41.902
;Греция;235 574;77.7;499;9.1;17.901
;Грузия;16 530;53.5;130;11.8;3.842
;Дания;342 362;87.5;390;3.5;53.744
;Израиль;305 675;92.1;272;3.6;37.262
;Индонезия;888 538;53;37.1;15.3;3.604
;Иордания;35 827;83.4;123;26.3;5.554
;Исландия;17 036;94;644;4.6;59.629
;Испания;1 381 342;79.4;481;3.7;26.609
;Италия;2 141 161;68.8;602;6.1;30.507
;Казахстан;217 872;53.3;189;24.2;7.453
;Кения;60 937;25.2;13.7;29.1;1.516
;Кипр;23 226;67;419;5.2;23.352
;Китай;10 354 832;54.4;43.8;18.8;22.453
;Коста Рика;49 553;75.9;135;13.9;11.835
;Кувейт;163 612;98.3;439;18.7;26.005
;Латвия;31 287;67.4;515;10;14.06
;Литва;48 354;66.5;284;10.6;14.89
;Люксембург;64 874;89.9;665;8.7;103.199
;Макао;55 502;100;148;18.8;67.079
;Малайзия;338 104;74;325;24;9.36
;Мальдивы;3 062;44.5;10.6;3.5;9.554
;Мальта;9 643;95.3;579;5.1;25.214
;Марокко;110 009;59.7;61.8;18;3.063
;Мексика;1 294 690;79;191;12.3;8.555
;Молдова;7 962;44.9;113;12.5;1.901
;Мьянма;64 330;33.6;5.4;20.3;1.269
;Намибия;12 995;45.7;47.5;23.9;4.63
;Нидерланды;879 319;89.9;466;3.4;45.283
;Никарагуа;11 806;58.5;16.6;15.3;2.12
;Норвегия;499 817;80.2;472;3.8;70.392
;Пакистан;243 632;38.3;13.4;14.2;1.468
;Панама;46 213;66.3;102;10;13.654
;Перу;202 596;78.3;43.9;13.9;6.199
;Польша;544 967;60.6;451;10.3;12.316
;Россия;1 860 598;73.9;233;18.9;8.929
;Руанда;7 890;27.8;1.6;32.1;729
;Румыния;199 044;54.4;201;8.7;9.465
;Сальвадор;25 164;66.3;49.4;21.1;4.343
;Сейшельские Острова;1 423;53.6;140;8.6;14.938
;Сенегал;15 658;43.4;17;27.2;960
;Сербия;43 866;55.5;215;10.4;5.376
;Сингапур;307 860;100;117;3.6;52.961
;Словакия;100 249;53.8;307;6.6;16.499
;Словения;49 491;49.7;522;6.4;21.32
;Соединённые Штаты Америки;17 419 000;81.4;423;10.6;57.436
;Суринам;5 210;66.1;227;19.1;6.333
;Таиланд;404 824;49.2;66.6;36.2;5.899
;Тунис;48 613;66.6;86.8;24.4;3.73
;Турция;798 429;72.9;104;8.9;10.743
;Украина;131 805;69.5;148;13.5;2.194
;Фиджи;4 532;53.4;118;5.8;5.182
;Филиппины;284 777;44.5;8.6;10.5;2.924
;Финляндия;272 217;84.1;538;4.8;43.169
;Франция;2 829 192;79.3;481;5.1;38.128
;Хорватия;57 113;58.7;343;9.2;12.095
;Черногория;4 588;63.8;262;11.9;6.629
;Чехия;205 270;73;427;6.1;18.286
;Чили;258 062;89.4;127;12.4;13.576
;Швейцария;701 037;73.8;521;3.3;79.242
;Швеция;571 090;85.7;462;2.8;51.165
;Шри-Ланка;78 824;18.3;19.9;17.4;3.887
;Эквадор;100 917;63.5;41.3;20.1;5.93
;Эстония;26 485;67.6;412;7;17.633
;Южная Африка;350 085;64.3;112;25.1;5.261
;Южная Корея;1 410 383;82.4;276;9.5;27.539
;Ямайка;13 891;54.6;144;11.5;4.931
;Япония;4 601 461;93;453;4.7;38.917
